Station_ID,Station_Name,Line,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
412,163rd St - Amsterdam Av,C,Manhattan,"4,271","4,340","4,513","4,436","1,711","4,289","+2,578",+150.6%,320
413,Fulton St,,,,,,,,,,,
414,Chambers St,,,,,,,,,,,
415,Canal St,,,,,,,,,,,
416,City Hall,"R,W",Manhattan,"4,344","6,310","6,766","7,731","6,657","6,050",-607,-9.1%,252
417,Canal St,,,,,,,,,,,
418,South Ferry - Whitehall St,"1,R,W",Manhattan,"23,017","28,809","29,534","33,019","33,797","34,033",+236,+0.7%,29
419,Bowling Green,"4,5",Manhattan,"34,830","31,556","31,522","29,395","28,646","28,664",+18,+0.1%,35
420,Wall St,"4,5",Manhattan,"25,619","23,595","22,211","20,420","19,745","19,994",+249,+1.3%,68
421,Whitehall St,,,,,,,,,,,
422,Rector St,"R,W",Manhattan,"4,127","6,157","6,524","7,092","7,185","6,926",-259,-3.6%,222
423,Fresh Pond Rd,M,Queens,"5,677","6,002","6,130","4,223","4,716","5,882","+1,166",+24.7%,257
424,Middle Village - Metropolitan Ave,M,Queens,"4,318","4,489","4,530","3,064","3,225","3,726",+501,+15.5%,338
425,Rector St,1,Manhattan,"10,869","10,625","9,788","9,453","9,005","8,471",-534,-5.9%,185
426,World Trade Center - Cortlandt St,1,Manhattan,0,0,0,0,"3,558","13,871","+10,313",+289.9%,113
427,Fulton St,,,,,,,,,,,
428,Broad St,"J,Z",Manhattan,"6,525","6,865","7,279","7,130","7,050","7,710",+660,+9.4%,197
429,Cortlandt St,,,,,,,,,,,
430,Wall St,"2,3",Manhattan,"28,075","27,242","27,291","26,022","23,968","24,618",+650,+2.7%,48
431,Dyckman St,A,Manhattan,"6,687","6,831","6,874","6,739","6,477","6,874",+397,+6.1%,224
432,Grand St,"B,D",Manhattan,"24,153","24,281","24,649","24,460","23,422","24,323",+901,+3.8%,49
433,Broadway - Lafayette St / Bleecker St,"B,D,F,M,6",Manhattan,"40,148","39,724","39,058","37,986","36,493","38,527","+2,034",+5.6%,23
434,Bowery,"J,Z",Manhattan,"3,015","3,325","3,504","3,715","3,738","3,842",+104,+2.8%,335
435,Canal St,,,,,,,,,,,
436,23rd St,"C,E",Manhattan,"25,620","25,731","24,569","24,161","24,397","23,890",-507,-2.1%,51
437,34th St - Penn Station,"A,C,E",Manhattan,"85,634","84,778","82,584","78,904","80,346","82,855","+2,509",+3.1%,7
438,Jackson Hts - Roosevelt Av,,,,,,,,,,,
439,14th St / 6 Av ,"F,M,1,2,3,L",Manhattan,"49,990","50,335","50,692","48,565","48,508","46,363","-2,145",-4.4%,17
440,135th St,"B,C",Manhattan,"5,620","5,575","5,785","5,770","5,490","5,657",+167,+3.0%,265
441,14th St,,,,,,,,,,,
442,6th Ave,,,,,,,,,,,
443,8th Ave,,,,,,,,,,,
444,14th St / 8th Ave,"A,C,E,L",Manhattan,"43,953","45,253","44,680","43,434","44,031","44,370",+339,+0.8%,18
445,Nostrand Ave,3,Brooklyn,"4,268","4,306","4,239","4,066","3,907","4,195",+288,+7.4%,325
446,Clark St,"2,3",Brooklyn,"6,083","5,922","5,903","5,635","5,275","5,590",+315,+6.0%,269
447,Franklin Ave,,,,,,,,,,,
448,Clinton - Washington Aves,C,Brooklyn,"6,719","6,603","6,932","7,130","7,068","7,139",+71,+1.0%,214
449,Forest Ave,M,Queens,"4,210","4,386","4,429","2,819","3,124","4,235","+1,111",+35.6%,324
450,110th St,6,Manhattan,"12,452","13,409","13,341","11,932","10,851","10,580",-271,-2.5%,150
